date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:47	634/634	---MC-	302	error ('Found')	text/html	date:Tue,%2022%20Sep%202026%2013:17:47%20GMT	https://www.susanbuckmorss.info/robots.txt		(from )
09:17:48	117841/117841	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Sep%202026%2013:17:48%20GMT	https://www.susanbuckmorss.info/	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/index.html	(from )
09:17:48	318/318	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2260e2ff2-13e-4e8411021a000%22	https://www.susanbuckmorss.info/common/images/favicon.ico	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/common/images/favicon.ico	(from https://www.susanbuckmorss.info/)
09:17:48	1092/1092	---M-Z	200	added ('OK')	text/css	etag:%2260e2feb-444-4e84110ba3680-gzip%22	https://www.susanbuckmorss.info/common/css/reset.css	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/common/css/reset.css	(from https://www.susanbuckmorss.info/)
09:17:48	16001/16001	---M-Z	200	added ('OK')	text/css	etag:%2260e2fe7-3e81-4e9e69b5a9f40-gzip%22	https://www.susanbuckmorss.info/common/css/base.css?1	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/common/css/basec4ca.css	(from https://www.susanbuckmorss.info/)
09:17:49	283/283	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Sep%202026%2013:17:49%20GMT	https://susanbuckmorss.info/rss	/Users/avrieallen/websites/Susan/susanbuckmorss.info/rss.4.delayed	(from https://www.susanbuckmorss.info/)
09:17:49	627/627	---MC-	302	error ('Found')	text/html	date:Tue,%2022%20Sep%202026%2013:17:49%20GMT	https://www.susanbuckmorss.info/rss	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/rss	(from https://www.susanbuckmorss.info/)
09:17:50	2431/2431	---M-Z	200	added ('OK')	text/javascript	etag:%2260e3019-97f-4e8411021a000-gzip%22	https://www.susanbuckmorss.info/common/js/jquery.scrollto.min.js	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/common/js/jquery.scrollto.min.js	(from https://www.susanbuckmorss.info/)
09:17:50	93636/93636	---M-Z	200	added ('OK')	text/javascript	etag:%2260e3013-16dc4-4e8411021a000-gzip%22	https://www.susanbuckmorss.info/common/js/jquery-1.8.3.min.js	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/common/js/jquery-1.8.3.min.js	(from https://www.susanbuckmorss.info/)
09:17:50	1047/1047	---M-Z	200	added ('OK')	text/javascript	etag:%2260e3016-417-4e8411021a000-gzip%22	https://www.susanbuckmorss.info/common/js/jquery.imagesloaded.min.js	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/common/js/jquery.imagesloaded.min.js	(from https://www.susanbuckmorss.info/)
09:17:50	2315/2315	---M-Z	200	added ('OK')	text/javascript	etag:%2260e3011-90b-4e8411021a000-gzip%22	https://www.susanbuckmorss.info/common/js/customSelect.jquery.min.js	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/common/js/customSelect.jquery.min.js	(from https://www.susanbuckmorss.info/)
09:17:50	2320/2320	---M-Z	200	added ('OK')	text/javascript	etag:%2260e3015-910-4e8411021a000-gzip%22	https://www.susanbuckmorss.info/common/js/jquery.cookie.js	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/common/js/jquery.cookie.js	(from https://www.susanbuckmorss.info/)
09:17:51	6712/6712	---M-Z	200	added ('OK')	text/javascript	etag:%2260e301b-1a38-4e8427c6f5800-gzip%22	https://www.susanbuckmorss.info/common/js/sessvars.js	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/common/js/sessvars.js	(from https://www.susanbuckmorss.info/)
09:17:51	13829/13829	---M-Z	200	added ('OK')	text/javascript	etag:%2260e301a-3605-520456c198f80-gzip%22	https://www.susanbuckmorss.info/common/js/main.js?1	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/common/js/mainc4ca.js	(from https://www.susanbuckmorss.info/)
09:17:51	20709/20709	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2022%20Sep%202026%2013:17:51%20GMT	https://www.susanbuckmorss.info/rss/	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/rss/index.html	(from https://www.susanbuckmorss.info/)
09:17:51	446/446	---M-Z	200	added ('OK')	text/javascript	etag:%2260e3012-1be-4e9e90f1c3040-gzip%22	https://www.susanbuckmorss.info/common/js/home.js?1	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/common/js/homec4ca.js	(from https://www.susanbuckmorss.info/)
09:17:51	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Tue,%2022%20Sep%202026%2013:17:51%20GMT	http://use.typekit.net/zou0pho.js	/Users/avrieallen/websites/Susan/use.typekit.net/zou0pho.js	(from https://www.susanbuckmorss.info/)
09:17:52	645/645	---MC-	302	error ('Found')	text/html	date:Tue,%2022%20Sep%202026%2013:17:52%20GMT	https://www.susanbuckmorss.info/page/curriculum-vitae	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/page/curriculum-vitae	(from https://www.susanbuckmorss.info/)
09:17:52	41984/41984	---M--	200	added ('OK')	application/msword	etag:%2260e3c95-a400-520fe08dc7180%22	https://www.susanbuckmorss.info/media/files/cvthreepageaugust2015.doc	/Users/avrieallen/websites/Susan/www.susanbuckmorss.info/media/files/cvthreepageaugust2015.doc	(from https://www.susanbuckmorss.info/)
